School DBN,Type of School,Article.28,Article.28.Name,Article.31.Clininc.Onsite,Article.31.Provider,Funded.Article.31.Clinic,Community.School.w..MH.Funding,SRT,Promise.Zone,X100.Schools.Project,School.MH.Supervisor,School.MH.Consultant,School.Name,Address,lon,lat,geoAddress
01M015,Community School,,.,X,Jewish Board,,Rise,,,,,,P.S. 015 Roberto Clemente,"333 EAST  4 STREET,MANHATTAN,NY,10009",-73.9787655,40.7218342,"333 e 4th st, new york, ny 10009, usa"
01M019,Consultant Program,,.,,,,,,,,Richard Repaci,Grace Peluso,P.S. 019 Asher Levy,"185 1 AVENUE,MANHATTAN,NY,10003",-73.9842426,40.7298349,"185 1st avenue, new york, ny 10003, usa"
01M184,Consultant Program,,.,,,,,,,,Richard Repaci,Veronica Vega,P.S. 184m Shuang Wen,"327 CHERRY STREET,MANHATTAN,NY,10002",-73.9856822,40.7113459,"327 cherry st, new york, ny 10002, usa"
01M188,Community School,X,William F Ryan,X,Jewish Board,,AIDP,,,,,,P.S. 188 The Island School,"442 EAST HOUSTON STREET,NEW YORK,NY,10002",-73.9773555,40.7198989,"442 e houston st, new york, ny 10002, usa"
01M292,Community School,X,H+H Gotham,X,Henry Street Settlement,X,Rise,,,,,,Orchard Collegiate Academy,"220 HENRY STREET,MANHATTAN,NY,10002",-73.9860332,40.7134455,"220 henry st, new york, ny 10002, usa"
01M361,Consultant Program,,.,,,,,,,,Richard Repaci,Veronica Vega,The Children's Workshop School,"610 EAST  12 STREET,MANHATTAN,NY,10009",-73.9783818,40.7277257,"610 e 12th st, new york, ny 10009, usa"
01M448,Consultant Program,,.,,,,,,,,Richard Repaci,Grace Peluso,University Neighborhood High School,"200 MONROE STREET,MANHATTAN,NY,10002",-73.9840589,40.7123543,"200 monroe st, new york, ny 10002, usa"
01M696,Consultant Program,,.,,,,,,,,Richard Repaci,Veronica Vega,Bard High School Early College,"525 EAST HOUSTON STREET,MANHATTAN,NY,10002",-73.9760746,40.7180919,"525 e houston st, new york, ny 10002, usa"
02M001,Consultant Program,,.,,,,,,,,Richard Repaci,Melinda Fuentes,P.S. 001 Alfred E. Smith,"8 HENRY STREET,MANHATTAN,NY,10038",-73.9976565,40.7125894,"8 henry st, new york, ny 10038, usa"
02M006,Consultant Program,,.,,,,,,,,Richard Repaci,Melinda Fuentes,P.S. 006 Lillie D. Blake,"45 EAST  81 STREET,MANHATTAN,NY,10028",-73.9605501,40.7776435,"45 e 81st st, new york, ny 10028, usa"
02M033,Consultant Program,,.,,,,,,,,Richard Repaci,Grace Peluso,P.S. 033 Chelsea Prep,"281 9 AVENUE,MANHATTAN,NY,10001",-74.000319,40.7490291,"281 9th ave, new york, ny 10001, usa"
02M042,Consultant Program,,.,,,,,,,,Richard Repaci,Shumekia Conley,Jill Chaifetz Transfer High School,"778 FOREST AVENUE,BRONX,NY,10456",-73.9053941,40.8186399,"778 forest ave, the bronx, ny 10456, usa"
02M047,Consultant Program,,.,,,,,,,,Richard Repaci,Grace Peluso,47 The American Sign Language and English Secondary School,"223 EAST 23 STREET,MANHATTAN,NY,10010",-73.9814014,40.7387769,"223 e 23rd st, new york, ny 10010, usa"
02M059,Consultant Program,,.,,,,,,,,Richard Repaci,Veronica Vega,P.S. 059 Beekman Hill International,"231-249 EAST 56 STREET,MANHATTAN,NY,10019",-73.966183,40.759213,"231 e 56th st, new york, ny 10022, usa"
02M089,Consultant Program,,.,,,,,,,,Richard Repaci,Shumekia Conley,P.S. 89,"201 WARREN STREET,MANHATTAN,NY,10282",-74.013597,40.7169119,"201 warren st, new york, ny 10282, usa"
02M104,Consultant Program,,.,,,,,,,,Richard Repaci,Grace Peluso,J.H.S. 104 Simon Baruch,"330 EAST  21 STREET,MANHATTAN,NY,10010",-73.9805744,40.7358068,"330 e 21st st, new york, ny 10010, usa"
02M124,Consultant Program,,.,,,,,,,,Richard Repaci,Shumekia Conley,P.S. 124 Yung Wing,"40 DIVISION STREET,MANHATTAN,NY,10002",-73.9955257,40.7144262,"40 division st, new york, ny 10002, usa"
02M130,Consultant Program,,.,,,,,,,,Richard Repaci,Shumekia Conley,P.S. 130 Hernando De Soto,"143 BAXTER STREET,MANHATTAN,NY,10013",-73.9982914,40.7188532,"p.s. 130 hernando de soto, 143 baxter st, new york, ny 10013, usa"
